Date_Time,Date,Time,Alfred Place,Birrarung Marr,Bourke St-Russell St (West),Bourke Street Mall (North),Bourke Street Mall (South),Chinatown-Lt Bourke St (South),Chinatown-Swanston St (North),City Square,Collins Place (North),Collins Place (South),Collins St (North),Flagstaff Station,Flinders St-Elizabeth St (East),Flinders St-Spark La,Flinders St-Spring St (West),Flinders St-Swanston St (West),Flinders Street Station Underpass,Grattan St-Swanston St (West),Lonsdale St-Spring St (West),Lonsdale St (South),Lygon St (East),Lygon St (West),Melbourne Central,Melbourne Convention Exhibition Centre,Monash Rd-Swanston St (West),New Quay,Princes Bridge,Queen St (West),QV Market-Elizabeth St (West),QV Market-Peel St,Sandridge Bridge,Southbank,Southern Cross Station,Spencer St-Collins St (North),Spencer St-Collins St (South),St Kilda Rd-Alexandra Gardens,State Library,The Arts Centre,Tin Alley-Swanston St (West),Town Hall (West),Victoria Point,Waterfront City,Webb Bridge
2019-01-05T05:00:00Z,2019-01-05,16,139,578,1192,3426,2884,535,1202,NA,159,380,1249,NA,NA,163,121,781,1977,121,189,874,310,433,1347,1579,63,494,3982,203,772,237,665,3701,148,1224,284,1384,1428,3779,60,2946,79,186,215
2019-01-05T06:00:00Z,2019-01-05,17,114,517,1320,3258,2445,618,1149,NA,160,325,1073,NA,NA,207,127,751,1865,120,212,830,258,543,1351,1553,83,563,3713,202,573,185,642,3869,162,1251,272,1280,1390,2874,59,2895,84,173,254
2019-01-05T07:00:00Z,2019-01-05,18,152,447,1255,2829,1680,852,1328,NA,106,304,689,NA,NA,166,137,690,1847,85,226,991,303,714,1337,1366,38,555,3357,170,592,168,779,3848,181,1001,199,948,1317,2379,40,2325,110,174,217
2019-01-05T08:00:00Z,2019-01-05,19,243,334,1338,2177,1157,988,1360,NA,66,284,438,NA,NA,193,140,519,1628,75,210,998,483,761,1466,807,26,592,2694,163,588,160,587,3780,121,811,186,773,1278,2255,44,2015,73,159,192
2019-01-05T09:00:00Z,2019-01-05,20,119,264,1304,1380,701,888,1258,NA,85,235,403,NA,NA,135,143,457,1533,59,172,984,611,881,1336,729,37,658,2442,201,492,133,547,3563,79,721,213,562,984,1199,26,1625,46,201,158
2019-01-05T10:00:00Z,2019-01-05,21,115,185,1128,757,387,871,1008,NA,91,181,311,NA,NA,143,86,421,1507,80,217,895,546,893,1163,841,19,511,2068,126,428,109,713,3165,108,574,169,376,866,1059,24,1334,64,129,110
2019-01-05T11:00:00Z,2019-01-05,22,102,155,926,651,303,778,834,NA,59,151,248,NA,NA,113,69,402,1317,33,166,996,411,894,945,586,10,379,2269,250,330,115,611,2755,83,620,177,372,672,1400,12,1125,52,88,82
2019-01-05T12:00:00Z,2019-01-05,23,74,69,700,335,203,736,504,NA,58,77,190,NA,NA,78,59,305,1000,38,131,726,218,560,627,365,13,180,1359,317,244,66,423,1540,81,518,110,177,337,555,12,702,40,52,59
2019-01-05T13:00:00Z,2019-01-06,0,27,67,458,239,129,350,351,NA,41,63,127,NA,NA,35,19,189,559,9,58,579,73,302,472,179,5,100,713,281,137,28,269,859,26,263,96,98,194,267,3,480,17,12,31
2019-01-05T14:00:00Z,2019-01-06,1,34,17,536,127,105,181,233,NA,11,26,76,NA,NA,24,13,103,345,21,28,424,44,124,230,101,NA,32,354,219,128,27,150,342,20,125,38,36,128,114,1,336,21,5,10
2019-01-05T15:00:00Z,2019-01-06,2,18,29,321,100,80,127,132,NA,19,21,59,NA,NA,14,7,79,191,38,23,268,19,57,175,60,4,17,252,198,76,24,104,169,20,91,37,34,185,229,2,243,18,10,7
2019-01-05T16:00:00Z,2019-01-06,3,23,12,294,80,41,131,101,NA,3,15,52,NA,NA,12,5,53,171,24,5,235,8,22,201,27,1,5,213,89,93,14,114,87,14,67,29,19,77,129,NA,192,11,1,2
2019-01-05T17:00:00Z,2019-01-06,4,25,18,151,32,27,78,42,NA,4,26,21,NA,NA,4,7,44,160,4,10,98,7,9,76,24,3,9,185,42,57,4,122,87,18,75,30,17,32,105,NA,118,5,NA,2
2019-01-05T18:00:00Z,2019-01-06,5,7,21,128,36,30,74,34,NA,7,17,44,NA,NA,10,14,58,145,7,7,207,5,18,39,22,2,5,142,29,36,6,87,79,13,79,27,21,29,132,4,98,5,1,5
2019-01-05T19:00:00Z,2019-01-06,6,18,49,50,29,40,73,15,NA,22,30,42,NA,NA,27,41,102,158,15,14,88,9,9,44,47,2,23,209,14,72,26,107,163,26,181,42,38,49,196,2,145,7,14,24
2019-01-05T20:00:00Z,2019-01-06,7,23,141,77,81,59,50,26,NA,19,40,77,NA,NA,17,36,138,272,26,24,59,11,17,100,97,8,61,307,18,151,33,95,409,47,291,63,98,59,472,5,172,19,18,62
2019-01-05T21:00:00Z,2019-01-06,8,94,158,69,156,126,37,71,NA,37,81,117,NA,NA,23,48,221,432,199,51,114,29,42,157,197,30,124,506,45,269,69,205,660,76,423,75,160,125,787,36,272,35,26,97
2019-01-05T22:00:00Z,2019-01-06,9,102,255,200,463,401,125,141,NA,72,127,286,NA,NA,63,89,364,731,317,91,177,39,113,249,421,36,204,994,86,602,141,303,1301,85,568,174,264,228,1226,23,619,48,43,172
2019-01-05T23:00:00Z,2019-01-06,10,174,407,348,1182,827,296,255,NA,108,197,605,NA,NA,89,104,609,965,395,152,279,72,126,454,634,55,312,1559,122,934,293,412,1770,104,950,209,516,416,1909,31,1178,75,77,188
2019-01-06T00:00:00Z,2019-01-06,11,153,410,597,1823,1490,438,547,NA,144,235,788,NA,NA,104,107,622,1337,267,148,525,110,207,669,854,76,463,2612,100,1239,337,547,2398,106,1025,247,719,594,2604,36,1754,84,112,260
2019-01-06T01:00:00Z,2019-01-06,12,144,547,758,2453,1967,781,1034,NA,121,256,1008,NA,NA,94,86,615,1470,261,190,686,200,243,1027,1009,93,488,3122,155,1533,458,585,2842,123,961,188,1100,959,2988,48,2479,119,138,286
2019-01-06T02:00:00Z,2019-01-06,13,106,636,871,2918,2169,613,1079,NA,102,217,1116,NA,NA,81,125,555,1655,217,170,776,238,340,1159,1193,92,654,3463,88,1700,365,584,3350,100,959,248,1189,1244,3308,66,2561,63,201,270
2019-01-06T03:00:00Z,2019-01-06,14,104,763,942,3029,2548,664,1102,NA,117,235,1119,NA,NA,117,112,664,1945,226,169,807,274,432,1275,1364,90,625,3821,141,1411,382,763,3680,110,931,233,1482,1218,3794,77,2870,62,235,311
2019-01-06T04:00:00Z,2019-01-06,15,112,690,1065,3189,2390,564,1031,NA,106,307,1224,NA,NA,165,88,671,2136,204,185,721,269,637,1364,1602,102,644,3660,154,1353,354,767,3891,125,1035,244,1384,1333,3314,67,3015,89,211,271
2019-01-06T05:00:00Z,2019-01-06,16,102,778,975,2982,2290,496,1090,NA,96,236,980,NA,NA,193,110,662,1940,126,154,709,261,532,1192,1794,65,568,3296,139,861,234,721,3790,105,1016,205,1350,1259,3188,62,2660,62,142,268
2019-01-06T06:00:00Z,2019-01-06,17,100,520,1026,2643,1932,478,1004,NA,119,217,650,NA,NA,145,77,643,1738,122,117,766,216,606,1177,1376,86,550,3281,147,532,150,611,3343,149,1081,185,1332,1419,3068,59,2457,64,132,239
2019-01-06T07:00:00Z,2019-01-06,18,98,530,1073,2220,1361,549,1025,NA,91,188,491,NA,NA,142,85,534,1630,91,131,730,283,668,NA,1102,41,581,2214,124,498,132,558,3069,152,996,217,829,1149,1513,31,1967,100,207,237
2019-01-06T08:00:00Z,2019-01-06,19,124,509,993,1575,681,661,1130,NA,56,184,379,NA,NA,151,87,422,1337,79,119,785,347,714,NA,508,60,540,2111,149,406,132,465,2970,118,721,192,877,1127,1146,77,1627,82,192,162
2019-01-06T09:00:00Z,2019-01-06,20,60,313,916,1020,472,625,1002,NA,70,205,362,NA,NA,100,72,417,1159,50,131,678,302,698,NA,519,17,617,1766,120,525,106,505,2584,101,642,147,532,890,947,27,1341,67,148,132
2019-01-06T10:00:00Z,2019-01-06,21,90,125,719,525,301,499,681,NA,37,105,194,NA,NA,62,59,400,1203,90,128,566,227,600,NA,321,18,458,1555,101,420,72,446,2110,104,674,187,329,647,772,25,1028,57,166,106
2019-01-06T11:00:00Z,2019-01-06,22,47,78,506,244,194,274,432,NA,48,58,142,NA,NA,38,30,293,835,76,57,388,147,411,NA,200,12,223,906,73,238,53,339,1246,96,409,169,169,434,459,9,614,39,64,65
2019-01-06T12:00:00Z,2019-01-06,23,44,103,358,135,75,123,226,NA,27,41,96,NA,NA,16,13,216,535,63,30,317,60,190,NA,102,4,92,509,31,224,39,254,509,43,289,75,68,177,219,8,287,19,26,39
2019-01-06T13:00:00Z,2019-01-07,0,17,20,181,56,47,59,151,NA,17,30,34,NA,NA,7,9,77,207,36,16,174,15,48,NA,46,1,45,198,16,143,13,82,221,15,138,30,61,69,110,2,136,6,8,9
2019-01-06T14:00:00Z,2019-01-07,1,12,29,122,35,12,31,49,NA,3,6,16,NA,NA,5,5,62,69,22,13,137,12,17,NA,15,1,26,72,12,78,10,33,88,24,49,23,38,50,33,2,63,7,8,5
2019-01-06T15:00:00Z,2019-01-07,2,2,1,48,31,20,45,20,NA,3,13,7,NA,NA,NA,6,32,49,29,4,88,5,6,NA,37,1,10,44,7,76,10,28,29,14,32,5,3,23,30,2,32,2,5,2
2019-01-06T16:00:00Z,2019-01-07,3,2,3,31,2,11,14,22,NA,6,7,15,NA,NA,NA,1,13,71,22,6,64,2,6,NA,13,NA,9,50,4,34,4,10,25,NA,10,19,6,15,51,NA,24,3,1,1
2019-01-06T17:00:00Z,2019-01-07,4,8,8,44,15,20,36,18,NA,9,6,5,NA,NA,7,5,32,43,24,6,28,9,7,NA,8,1,4,90,5,24,6,21,31,10,32,12,9,15,97,3,25,2,NA,6
2019-01-06T18:00:00Z,2019-01-07,5,25,53,38,20,19,21,10,NA,30,51,47,NA,NA,19,12,77,162,15,16,30,7,11,NA,51,3,14,260,22,53,8,85,125,76,203,39,25,18,228,2,94,11,6,32
2019-01-06T19:00:00Z,2019-01-07,6,80,174,73,119,61,19,37,NA,111,177,174,NA,NA,44,63,304,469,47,71,53,9,17,NA,223,17,89,532,78,75,29,211,500,423,675,194,113,84,554,17,177,55,24,122
2019-01-06T20:00:00Z,2019-01-07,7,228,132,162,293,233,76,96,NA,483,576,349,NA,NA,133,145,1037,1327,103,233,119,45,58,NA,574,45,199,1356,238,190,64,591,1442,1780,1985,615,299,244,1442,42,484,262,44,349
2019-01-06T21:00:00Z,2019-01-07,8,780,NA,309,841,541,160,208,NA,1312,1631,770,NA,NA,293,391,2321,3196,329,585,305,81,108,NA,784,148,345,2785,684,418,141,1292,3150,3715,3850,1245,530,574,3108,102,970,361,62,559
2019-01-06T22:00:00Z,2019-01-07,9,612,NA,311,849,797,186,129,NA,624,916,813,NA,NA,302,363,1286,1566,371,478,246,107,113,NA,431,199,207,2022,484,448,104,626,1717,1688,2263,688,322,548,2026,106,1215,239,29,230
2019-01-06T23:00:00Z,2019-01-07,10,398,NA,474,1406,1162,205,304,NA,356,588,1098,NA,NA,198,177,896,1076,385,422,372,129,139,NA,509,195,196,1751,378,497,111,437,1589,613,1601,457,367,624,1594,107,1683,190,39,198
2019-01-07T00:00:00Z,2019-01-07,11,362,NA,725,2110,1768,417,543,NA,362,561,1386,NA,NA,196,194,954,1374,497,455,515,148,170,NA,702,223,245,2193,401,646,143,478,2130,537,1500,525,594,799,1900,86,2242,170,62,240
2019-01-07T01:00:00Z,2019-01-07,12,977,NA,1469,3510,3168,623,1155,NA,551,1674,2079,NA,NA,284,301,1508,2243,449,710,1040,410,327,NA,1109,333,544,2643,929,1027,200,750,3594,1413,2518,1271,871,1330,2343,122,3334,383,155,833
2019-01-07T02:00:00Z,2019-01-07,13,975,NA,1370,3771,3446,749,1173,NA,638,1546,2141,NA,NA,218,343,1504,2303,530,712,938,353,429,NA,1267,331,490,3159,725,985,177,762,3683,1187,2336,1128,1083,1583,2618,159,3829,295,184,573
2019-01-07T03:00:00Z,2019-01-07,14,413,NA,958,3138,2952,532,952,NA,413,758,1729,NA,NA,196,241,1015,1838,346,420,699,254,359,NA,1102,219,406,2902,515,514,144,587,2978,656,1704,591,851,1366,2590,108,3347,156,129,277
2019-01-07T04:00:00Z,2019-01-07,15,304,NA,966,2877,2493,423,887,NA,485,637,1484,NA,NA,209,238,1074,2015,365,352,691,284,329,NA,1115,237,402,3339,482,552,150,717,2817,1082,2050,567,1016,1384,2948,119,3133,296,104,277
2019-01-07T05:00:00Z,2019-01-07,16,453,NA,909,2809,2497,433,933,NA,852,611,1415,NA,NA,234,371,1689,2758,438,373,687,218,325,NA,1286,278,394,3600,511,555,175,1048,3308,2522,3358,797,1023,1514,3056,147,3175,563,96,455
2019-01-07T06:00:00Z,2019-01-07,17,618,NA,1201,3331,2339,482,1042,NA,1470,1092,1490,NA,NA,336,485,2482,4242,423,553,848,310,362,NA,1519,338,660,4737,640,710,238,1813,4454,3458,4748,1167,1346,1885,4149,234,3339,778,163,737
2019-01-07T07:00:00Z,2019-01-07,18,263,NA,1107,2566,1640,576,1028,NA,467,561,836,NA,NA,210,186,1330,2266,184,278,749,268,432,NA,1036,207,733,2809,308,567,185,871,3205,1090,2493,546,873,1448,2324,153,2323,354,153,439
2019-01-07T08:00:00Z,2019-01-07,19,130,NA,1008,1439,799,557,958,NA,181,267,528,NA,NA,108,66,614,1603,106,147,750,314,509,NA,487,119,551,1930,235,503,104,572,2610,344,1247,234,532,1128,1223,118,1882,129,164,204
2019-01-07T09:00:00Z,2019-01-07,20,120,NA,822,968,499,466,809,NA,126,279,328,NA,NA,75,71,427,1251,86,164,636,413,676,NA,383,77,578,1521,182,424,93,469,2270,164,834,179,370,836,707,56,1313,74,154,131
2019-01-07T10:00:00Z,2019-01-07,21,106,NA,707,513,316,422,600,NA,56,151,329,NA,NA,77,64,416,1159,87,109,534,246,529,NA,281,93,379,1576,168,389,90,415,2127,99,708,174,219,707,825,89,1015,45,143,122
2019-01-07T11:00:00Z,2019-01-07,22,62,NA,488,380,165,241,385,NA,75,88,146,NA,NA,66,39,642,870,85,87,338,163,356,NA,290,46,472,986,62,244,58,347,1246,110,826,164,176,419,526,55,566,83,91,104
2019-01-07T12:00:00Z,2019-01-07,23,29,NA,302,121,82,128,220,NA,16,88,85,NA,NA,34,20,269,518,30,49,313,91,159,NA,98,17,105,473,35,185,44,243,486,45,313,75,59,181,273,22,275,35,27,44
2019-01-07T13:00:00Z,2019-01-08,0,27,NA,206,60,44,57,111,NA,2,26,31,NA,NA,21,23,148,263,20,16,174,26,86,NA,36,4,26,203,9,135,27,92,231,31,143,42,38,106,75,3,131,24,13,7
2019-01-07T14:00:00Z,2019-01-08,1,4,NA,109,22,28,36,63,NA,7,17,25,NA,NA,9,9,52,79,6,8,102,19,27,NA,48,NA,13,83,5,76,11,34,62,7,40,19,22,58,28,NA,67,5,3,6
2019-01-07T15:00:00Z,2019-01-08,2,3,NA,74,18,13,16,35,NA,5,2,5,NA,NA,5,8,50,42,11,7,43,10,8,NA,22,NA,18,50,2,39,3,18,33,1,43,13,5,29,15,NA,43,1,2,3
2019-01-07T16:00:00Z,2019-01-08,3,5,NA,83,13,8,35,25,NA,2,5,9,NA,NA,NA,2,22,26,4,7,56,5,18,NA,11,1,9,49,6,38,1,11,24,3,17,16,8,23,48,1,36,6,1,NA
2019-01-07T17:00:00Z,2019-01-08,4,4,NA,26,8,18,20,18,NA,5,17,10,NA,NA,3,10,16,42,10,7,11,6,10,NA,51,1,9,76,3,16,3,21,46,9,34,2,3,16,67,1,43,1,2,5
2019-01-07T18:00:00Z,2019-01-08,5,29,NA,33,10,23,8,17,NA,27,27,28,NA,NA,24,8,65,160,9,18,17,12,11,NA,52,1,15,213,16,77,9,78,133,85,182,30,25,20,206,2,85,14,5,48
2019-01-07T19:00:00Z,2019-01-08,6,76,NA,88,122,68,37,41,NA,115,168,123,NA,NA,61,72,326,497,31,78,51,6,23,NA,219,10,94,542,78,111,36,229,564,476,663,215,106,75,540,23,194,55,24,145
2019-01-07T20:00:00Z,2019-01-08,7,282,NA,83,281,296,84,92,NA,532,613,382,NA,NA,150,200,984,1396,68,218,108,42,46,NA,576,19,217,1264,217,271,74,585,1670,1803,1915,605,296,277,1462,33,455,259,68,401
2019-01-07T21:00:00Z,2019-01-08,8,726,NA,266,815,612,157,147,NA,1209,1539,811,NA,NA,317,461,2229,3478,232,565,362,80,108,NA,819,119,399,2754,669,529,164,1295,3634,3508,3600,1197,619,570,2899,110,975,358,81,584
2019-01-07T22:00:00Z,2019-01-08,9,579,NA,235,888,661,140,165,NA,659,1046,854,NA,NA,270,328,1314,1780,253,468,264,86,86,NA,513,121,250,1934,503,654,161,656,2056,2050,2414,692,358,565,1912,98,1079,280,49,289
2019-01-07T23:00:00Z,2019-01-08,10,368,NA,372,1238,1193,205,265,NA,371,679,918,NA,NA,118,272,937,1075,247,429,339,116,115,NA,493,133,224,1894,401,967,234,436,1638,674,1547,465,354,575,1681,69,1555,199,46,171
2019-01-08T00:00:00Z,2019-01-08,11,378,NA,630,1973,1712,404,435,NA,369,575,1287,NA,NA,131,187,1040,1433,353,437,468,201,166,345,671,203,256,2267,439,1332,242,540,1908,693,1491,521,537,613,2074,84,2047,214,46,248
2019-01-08T01:00:00Z,2019-01-08,12,1043,NA,1272,3476,3188,654,1211,NA,544,1565,2173,NA,NA,241,326,1458,2175,372,773,917,299,251,1332,961,290,554,2786,978,1743,313,708,3701,1439,2496,1113,842,1368,2590,129,3355,454,177,727
2019-01-08T02:00:00Z,2019-01-08,13,1081,NA,1330,3848,3552,692,1100,NA,613,1550,2244,NA,NA,363,352,1499,2220,426,762,997,364,317,1486,1106,339,532,3028,683,1736,371,607,3940,1324,2374,1057,999,1582,2655,151,3729,327,182,611
2019-01-08T03:00:00Z,2019-01-08,14,460,NA,1008,3468,2575,464,1044,NA,438,795,1766,NA,NA,255,254,1067,1959,282,438,672,224,346,1237,1076,215,337,2955,541,880,215,613,2961,746,1788,536,865,1211,2665,111,3102,171,100,304
2019-01-08T04:00:00Z,2019-01-08,15,341,520,1062,2872,2440,417,929,NA,405,654,1473,NA,NA,248,225,1150,2125,394,393,650,177,296,1253,1031,195,342,3426,468,643,153,674,2936,1146,2106,459,871,1237,3232,98,3161,267,92,256
2019-01-08T05:00:00Z,2019-01-08,16,446,623,1081,2910,2325,400,924,NA,863,693,1394,NA,NA,229,355,1760,2811,349,287,739,133,322,1244,1159,245,320,3555,468,598,176,1000,3483,2566,3273,728,1073,1399,3020,105,3034,646,85,433
2019-01-08T06:00:00Z,2019-01-08,17,608,1005,1227,3299,2147,538,1026,NA,1365,1102,1347,NA,NA,372,456,2373,4413,402,572,795,187,345,1586,1575,298,481,4826,683,624,245,1917,5068,3428,4481,1159,1438,1853,4248,176,3302,750,122,748
2019-01-08T07:00:00Z,2019-01-08,18,338,702,1209,2483,1635,805,1128,NA,554,520,781,NA,NA,191,220,1184,2462,70,298,745,232,450,1445,1134,172,487,3202,348,675,172,993,3830,1093,2184,490,882,1396,2890,80,2524,330,121,413
2019-01-08T08:00:00Z,2019-01-08,19,184,405,1221,1493,821,896,1101,NA,162,281,445,NA,NA,127,105,563,1586,NA,199,802,246,509,1273,538,107,487,2105,208,517,133,544,2742,368,1148,279,612,1233,1208,61,1862,134,159,230
2019-01-08T09:00:00Z,2019-01-08,20,136,355,1013,914,522,1364,796,NA,104,229,387,NA,NA,99,111,485,1209,NA,152,612,312,674,1096,542,72,557,1833,161,459,127,517,2535,163,790,201,434,824,1262,58,1372,91,179,165
2019-01-08T10:00:00Z,2019-01-08,21,93,195,790,534,321,469,608,NA,85,191,340,NA,NA,91,54,374,1225,NA,130,613,220,506,932,388,35,423,1931,191,386,98,454,2313,130,700,174,329,606,1242,25,1056,64,170,100
2019-01-08T11:00:00Z,2019-01-08,22,40,94,627,389,182,521,432,NA,66,107,165,NA,NA,68,33,336,932,NA,84,473,137,355,566,222,17,198,1059,79,246,64,331,1334,101,487,87,145,389,434,25,673,39,37,80
2019-01-08T12:00:00Z,2019-01-08,23,57,67,383,127,102,246,258,NA,39,48,89,NA,NA,32,25,176,553,NA,48,297,51,183,303,157,3,71,646,39,204,40,242,623,41,258,73,76,183,281,11,344,22,17,24
2019-01-08T13:00:00Z,2019-01-09,0,16,25,199,49,28,100,124,NA,11,8,49,NA,NA,11,8,95,228,NA,30,214,19,62,172,38,2,36,265,19,136,18,104,258,28,124,55,41,81,95,4,138,2,12,9
2019-01-08T14:00:00Z,2019-01-09,1,28,21,130,34,30,43,62,NA,8,20,14,NA,NA,6,4,63,130,NA,10,125,7,28,81,30,2,7,89,10,74,6,37,100,20,41,24,10,45,23,3,61,4,1,3
2019-01-08T15:00:00Z,2019-01-09,2,18,NA,98,21,21,55,46,NA,3,19,9,NA,NA,2,7,36,41,NA,12,81,10,3,31,39,NA,5,55,9,75,3,17,54,11,39,22,7,29,27,1,34,3,NA,1
2019-01-08T16:00:00Z,2019-01-09,3,14,NA,26,14,11,11,23,NA,2,11,2,NA,NA,NA,20,29,32,NA,5,39,9,3,8,14,NA,2,59,3,36,2,5,14,2,17,3,2,21,36,1,20,2,1,1
2019-01-08T17:00:00Z,2019-01-09,4,25,NA,39,19,15,32,28,NA,3,7,16,NA,NA,3,4,23,44,NA,3,27,4,4,16,37,2,NA,80,1,38,6,20,29,14,30,7,12,17,91,3,38,8,NA,5
2019-01-08T18:00:00Z,2019-01-09,5,26,NA,47,22,22,27,13,NA,32,56,39,NA,NA,30,15,69,210,NA,20,26,8,15,41,60,3,10,242,21,37,7,92,151,86,258,34,34,37,233,2,76,12,4,38
2019-01-08T19:00:00Z,2019-01-09,6,114,NA,107,107,71,23,41,NA,109,167,131,NA,NA,72,69,290,584,NA,86,36,10,23,116,253,18,80,605,52,109,22,218,643,491,757,215,105,53,694,23,187,72,21,131
2019-01-08T20:00:00Z,2019-01-09,7,267,NA,117,303,239,64,65,NA,543,638,364,NA,NA,125,211,964,1322,NA,246,151,43,51,192,577,49,178,1190,225,224,81,532,1559,1677,1855,621,271,265,1383,41,429,288,54,381
2019-01-08T21:00:00Z,2019-01-09,8,692,593,352,861,602,139,189,NA,1199,1599,803,NA,NA,289,492,2248,3384,NA,610,367,75,91,411,785,158,388,2669,623,430,153,1296,3408,3404,3686,1213,537,577,2972,116,968,396,92,540
2019-01-08T22:00:00Z,2019-01-09,9,621,407,264,840,750,152,188,NA,717,1048,848,NA,NA,246,371,1415,1755,NA,505,266,101,97,430,508,170,232,2175,482,441,107,682,2123,1748,2379,748,284,555,2126,111,1165,116,38,265
2019-01-08T23:00:00Z,2019-01-09,10,451,507,446,1224,1257,228,363,NA,456,625,1202,NA,NA,151,213,1027,1231,NA,396,489,121,104,593,593,160,179,2138,458,576,157,500,1861,668,1685,444,419,556,1995,64,1616,NA,27,215
2019-01-09T00:00:00Z,2019-01-09,11,438,598,649,2084,1868,428,567,NA,385,723,1497,NA,NA,185,212,1030,1555,NA,496,558,163,157,790,757,187,279,3057,427,711,203,576,2363,598,1619,570,680,796,2934,94,2386,163,61,260
2019-01-09T01:00:00Z,2019-01-09,12,1030,755,1194,3524,3428,882,1091,NA,559,1511,2187,NA,NA,254,410,1630,2398,NA,799,1093,311,266,1453,1119,297,654,3816,1057,1178,264,803,3929,1329,2437,1103,1137,1335,4319,133,3570,475,149,763
2019-01-09T02:00:00Z,2019-01-09,13,908,921,1350,3712,3626,775,1080,NA,602,1506,2300,NA,NA,276,368,1548,2446,NA,744,1100,334,345,1502,1178,317,641,3268,691,1106,278,765,4005,1273,2471,1233,1177,1608,3028,152,3647,312,206,618
2019-01-09T03:00:00Z,2019-01-09,14,421,808,1093,3206,2745,570,995,NA,442,694,1826,NA,NA,256,226,1121,2041,NA,401,699,277,257,1395,1107,262,429,3227,620,566,194,601,3094,814,1876,741,1123,1420,3150,113,3398,177,125,256
2019-01-09T04:00:00Z,2019-01-09,15,333,766,1122,2966,2613,623,890,NA,443,643,1613,NA,NA,238,227,1214,2283,NA,423,750,233,271,1398,1221,220,430,4585,444,675,200,721,3217,1156,2366,646,1119,1366,4701,119,3204,249,130,262
2019-01-09T05:00:00Z,2019-01-09,16,416,852,1082,3024,2625,544,941,NA,858,729,1436,NA,NA,311,377,1873,2949,NA,405,726,184,317,1435,1443,279,423,3958,500,782,246,1024,3887,2570,3246,758,1113,1552,3394,129,3253,521,131,409
2019-01-09T06:00:00Z,2019-01-09,17,636,1383,1388,3519,2455,746,1129,NA,1252,1130,1529,NA,NA,436,565,2325,4590,NA,518,872,272,355,1660,1656,343,560,4820,706,1130,320,1814,5461,3364,4432,1255,1406,1956,4323,244,3419,737,155,689
2019-01-09T07:00:00Z,2019-01-09,18,323,1690,1313,2601,1746,1002,1094,NA,514,612,880,NA,NA,281,289,1253,2720,NA,299,855,221,369,1454,1264,151,523,3462,378,1357,367,1080,4047,1211,2331,588,1036,1535,2941,113,2768,340,99,422
2019-01-09T08:00:00Z,2019-01-09,19,157,678,1155,1674,812,1123,1103,NA,183,247,575,NA,NA,148,111,594,1683,NA,202,806,206,439,1319,817,86,387,2117,258,1419,433,559,2767,415,1194,283,630,1267,1951,45,1849,121,86,267
2019-01-09T09:00:00Z,2019-01-09,20,121,415,951,889,502,1027,945,NA,89,180,406,NA,NA,104,91,447,1420,NA,145,673,238,502,1130,428,64,649,1646,222,1264,378,479,2396,148,852,202,407,915,1093,38,1343,89,166,142
2019-01-09T10:00:00Z,2019-01-09,21,106,265,790,563,305,534,760,NA,65,130,379,NA,NA,72,63,427,1256,NA,166,635,200,489,945,388,49,327,1523,178,974,286,417,1987,96,665,177,279,734,1081,50,1026,62,110,197
2019-01-09T11:00:00Z,2019-01-09,22,65,1460,661,371,236,509,502,NA,65,110,214,NA,NA,158,143,357,1059,NA,151,494,155,307,601,935,32,207,1636,91,756,202,506,1753,106,704,181,273,462,943,28,710,39,80,100
2019-01-09T12:00:00Z,2019-01-09,23,41,109,414,211,109,269,195,NA,57,41,121,NA,NA,43,40,279,630,NA,81,347,52,208,371,134,9,98,653,50,216,58,320,634,66,346,63,110,177,370,8,344,19,29,28
2019-01-09T13:00:00Z,2019-01-10,0,15,30,220,72,48,120,114,NA,17,16,59,NA,NA,15,6,94,267,NA,23,220,27,73,156,46,4,34,255,40,118,26,89,292,16,153,46,46,105,136,5,114,19,6,24
2019-01-09T14:00:00Z,2019-01-10,1,23,NA,120,36,39,45,37,NA,7,6,24,NA,NA,8,3,55,86,NA,21,148,6,23,101,30,NA,9,88,11,79,17,35,100,18,62,15,32,65,32,1,99,1,3,13
2019-01-09T15:00:00Z,2019-01-10,2,14,NA,62,26,23,39,22,NA,7,5,8,NA,NA,6,5,63,36,NA,5,77,3,1,48,24,1,14,53,14,76,9,13,35,5,10,11,25,23,29,NA,56,2,6,7
2019-01-09T16:00:00Z,2019-01-10,3,10,NA,62,15,13,32,11,NA,3,3,20,NA,NA,1,12,24,25,NA,12,42,5,6,28,10,1,7,56,6,48,6,10,28,7,6,10,4,33,63,1,38,3,8,2
2019-01-09T17:00:00Z,2019-01-10,4,5,NA,35,11,19,41,19,NA,5,12,17,NA,NA,5,4,35,40,NA,7,40,10,12,25,8,1,4,63,6,23,7,24,25,2,30,7,8,16,79,1,31,3,1,6
2019-01-09T18:00:00Z,2019-01-10,5,32,NA,50,23,21,24,12,NA,31,45,19,NA,NA,26,19,71,183,NA,12,54,11,5,49,59,2,11,213,19,66,11,84,146,65,222,37,40,28,262,2,69,14,2,48
2019-01-09T19:00:00Z,2019-01-10,6,86,NA,83,128,73,56,26,NA,126,167,109,NA,NA,73,104,317,646,13,99,51,7,12,110,236,26,66,568,70,142,40,240,756,534,829,201,119,54,787,23,231,66,17,144
